Period Number,Down,Distance,Play Type
2,1,10,PASS
2,2,10,RUSH
2,3,8,RUSH
2,4,8,PUNT
2,1,10,PASS
2,2,10,RUSH
2,3,8,PASS
2,1,10,PASS
2,2,6,PASS
2,1,10,PASS
2,2,1,PASS
2,3,1,RUSH
2,1,10,PASS
2,2,10,PASS
2,3,7,PASS
2,4,7,PUNT
2,1,10,PASS
2,2,4,TIMEOUT
2,2,4,PASS
2,1,10,PASS
2,2,10,PENALTY
2,2,15,TIMEOUT
2,2,15,PASS
2,3,15,PASS
2,4,15,TIMEOUT
2,4,15,FIELD_GOAL
2,,,KICKOFF
2,1,10,RUSH
3,,,KICKOFF
3,,,ATTEMPT
3,,,KICKOFF
3,1,10,RUSH
3,2,5,PASS
3,1,10,PASS
3,2,10,RUSH
3,3,8,PENALTY
3,1,10,PASS
3,1,10,PASS
3,1,6,PASS
3,,,ATTEMPT
3,,,KICKOFF
3,1,10,RUSH
3,2,11,RUSH
3,3,8,PASS
3,4,8,PUNT
3,1,10,PASS
3,2,5,PASS
3,3,5,PASS
3,4,5,PUNT
3,1,10,RUSH
3,2,5,RUSH
3,3,2,PASS
3,4,2,PUNT
3,1,10,PASS
4,2,1,RUSH
4,3,1,RUSH
4,4,1,PUNT
4,1,10,PASS
4,2,4,PASS
4,1,10,PASS
4,1,10,PASS
4,1,10,PASS
4,2,6,PASS
4,3,6,PASS
4,4,6,FIELD_GOAL
4,,,KICKOFF
4,1,10,RUSH
4,2,10,TIMEOUT
4,2,10,PENALTY
4,1,10,PASS
4,1,10,PASS
4,2,5,TIMEOUT
4,2,5,TIMEOUT
4,2,5,PASS
4,3,5,RUSH
4,4,1,TIMEOUT
4,4,1,PUNT
4,1,10,RUSH
4,2,12,RUSH
1,,,KICKOFF
1,1,10,RUSH
1,2,4,PASS
1,1,10,PASS
1,2,7,PASS
1,3,9,PASS
1,4,9,FIELD_GOAL
1,,,KICKOFF
1,1,10,RUSH
1,1,2,RUSH
1,,,ATTEMPT
1,,,KICKOFF
1,1,10,RUSH
1,2,1,RUSH
1,1,10,RUSH
1,1,10,RUSH
1,2,4,RUSH
1,3,3,RUSH
1,1,10,RUSH
1,2,12,PASS
1,1,10,RUSH
2,2,7,PASS
2,,,ATTEMPT
2,,,KICKOFF
2,1,10,RUSH
2,2,11,RUSH
2,3,4,RUSH
2,1,10,RUSH
2,2,3,RUSH
2,1,10,RUSH
2,1,10,RUSH
2,2,12,RUSH
2,1,10,RUSH
2,1,6,RUSH
2,2,3,RUSH
2,,,ATTEMPT
2,,,KICKOFF
2,1,10,RUSH
2,2,9,RUSH
2,1,10,RUSH
2,2,7,RUSH
2,3,2,RUSH
2,4,1,TIMEOUT
2,4,1,RUSH
2,1,10,RUSH
2,2,14,TIMEOUT
2,2,14,PASS
2,3,14,RUSH
2,1,9,PENALTY
2,1,24,RUSH
2,2,19,TIMEOUT
2,2,19,PASS
2,3,19,PASS
2,4,19,FIELD_GOAL
2,,,KICKOFF
3,1,10,RUSH
3,2,1,RUSH
3,1,10,PASS
3,2,1,RUSH
3,1,10,RUSH
3,2,7,RUSH
3,3,2,RUSH
3,1,10,RUSH
3,2,1,RUSH
3,1,10,RUSH
3,2,11,PASS
3,,,ATTEMPT
3,,,KICKOFF
3,1,10,PASS
3,,,ATTEMPT
3,,,KICKOFF
3,1,10,PASS
3,2,4,RUSH
3,1,10,RUSH
3,2,13,RUSH
3,3,6,RUSH
3,4,5,PASS
3,1,3,RUSH
3,,,ATTEMPT
3,,,KICKOFF
4,1,10,RUSH
4,1,10,RUSH
4,2,9,RUSH
